English Term,POS Tags,Sanskrit Terms
a,,{#siMhaH;/ekaH/kaScit;/prati/anu/pratidinaM/anudinaM/arTaM#}
abaft,adv.,{##}
abandon,v. a.,{#tyaj/tyajati/tyaktuM/parityaj/jahAti/hAtuM/apahA/vihA/prahA/atisfj/ujJati/ujJituM/projJ#}
abandoned,p. p.,{#tyaktaH/parityaktaH/uttpaktaH/hInaH/utsfzwaH/projJitaH/samujJitaH/rahitaH/virahitaH/visarjjitaH/vinAkftaH/pApAtmA/pApamatiH#}
abandonment,s.,{#tyAgaH/parityAgaH/uttyAgaH/virahaH/projJanaM/sannyAsaH#}
abase,v. a.,{#BraMSayati/BraMSayituM/nipat#}
abased,p. p.,{#BagnadarpaH/apakfzwaH/parABUtaH/aBiBUtaH#}
abasement,s.,{#apakarzaH/aBiBavaH/apakfzwatA/apakIrttiH#}
abash,v. a.,{#laj/lAjayituM)/hrI/hrepayituM)/trap/trapayati/trapayituM#}
abashed,p. p.,{#lajjitaH/trapitaH/vrIqitaH/hrIparigataH#}
abate,v. a.,{#hras/hrAsayituM)/kan/kanayati/kanayituM/laG/laGayati/laGayituM/Sam/Samayati/SamayituM/avasad#}
abate,v. n.,{#kzi/hras/hrasati/hrasituM/Sam/SAmyati/SamituM/upaSam/praSam#}
abated,p. p.,{#upaSAntaH/praSAntaH#}
abbess,s.,{#vihArasya/maWasya#}
abbey,s.,{#vihAraH#}
abbot,s.,{#maWADyakzaH/guruH#}
abbreviate,v. a.,{#saMhf/saNkzip/hras/hrAsayati/hrAsayituM#}
abbreviature,s.,{#saNkzepaH/samasanaM/saNgrahaH#}
abdicate,v. a.,{#rAjyaM/aDikAraM/padaM/tyaj/tyajati/tyaktuM#}
abdication,s.,{#rAjyatyAgaH/aDikAratyAgaH/padatyAgaH#}
abdomen,s.,{#vastiH/udaraM/kukziH#}
abdominal,a.,{#vAsteyaH/udarakaH/kOkzaH#}
aberration,s.,{#viBramaH/BrAntiH/BraMSaH/cyutiH/paTaBrazwatA/unmArgagamanaM#}
abet,v. a.,{#protsah/(/pravft/upakf/upacar/upakAraM#}
abettor,s.,{#protsAhakaH/pravarttakaH/upakArakaH#}
abeyance,s.,{#apekzA/vilambaH#}
abhor,v. a.,{#garh/garhate/garhituM/bAD/bIBatsituM)/dviz/dvezwi/dvezwuM/pradviz#}
abhorrence,s.,{#bIBatsaH/garhaRaM/GfRA/aruciH#}
abhorrent,a.,{#bIBatsAnvitaH/virudDaH/ayogyaH/asaNgataH/asaMsTitaH/viparItaH#}
abide,v. n.,{#vas/vasati/vastuM/sTA/tizWati/sTAtuM/vft/varttate/varttituM#}
