Sanskrit Term,English/Hindi Term
AgataH_1,Come_1
AyAtaH_1,Come_1
upasTitaH_1,Come_1
idAnIm_3,Now_3
aDunA_3,Now_3
samprati_3,Now_3
sAmprataM_3,Now_3
,Brilliance_1
jalaM_2,Water_2
raYj_1,Tinge_1
nigaraRaH_1,Swallow_1
annamArgaH_1,Swallow_1
annavAhisrotas_1,Swallow_1
durBAgyaH_1,Unfortunate_1
aDanyaH_1,Unfortunate_1
durdEvaH_1,Unfortunate_1
nirBAgyaH_1,Unlucky_1
amaNgalaH_1,Unlucky_1
durdEvaM_3,Misfortune_3
durBAgyaM_3,Misfortune_3
dOrBAgyaM_3,Misfortune_3
kuBAgyaM_3,Misfortune_3
durgatiH_3,Misfortune_3
deSaprakftiH_1,Climate_1
dyutimAlA_4,Halo_4
aMSumAlA_4,Halo_4
sUryyaparigataM_4,Halo_4
aBinnaH_5,Unbroken_5
aBagnaH_5,Unbroken_5
aKaRqitaH_5,Unbroken_5
akzataH_4,Unimpaired_4
avikalaH_4,Unimpaired_4
aluptaH_4,Unimpaired_4
viBAgaH_3,Allotment_3
aMSanaM_3,Allotment_3
viBAgakalpanA_3,Allotment_3
sekaH_1,Irrigation_1
secanaM_1,Irrigation_1
siYcanaM_1,Irrigation_1
nizekaH_1,Irrigation_1
avasekaH_1,Irrigation_1
avasecanaM_1,Irrigation_1
jala-_1,Irrigation_1
sekaH_1,Watering_1
secanaM_1,Watering_1
siYcanaM_1,Watering_1
nizekaH_1,Watering_1
avasekaH_1,Watering_1
,Obligation_2
DrupadaM_1,Burden_1
DruvA_1,Burden_1
anupadaM_1,Burden_1
aBraM_1,Mica_1
aBrakaM_1,Mica_1
svacCapatraM_1,Mica_1
nirmalaM_1,Mica_1
alaNkf_3,Ornament_3
samalaNkf_3,Ornament_3
BUz_3,Ornament_3
,Obliged_2
kftajYaH_2,Grateful_2
fRI_1,Indebted_1
fRavAn_1,Indebted_1
pUj_2,Honour_2
upasTanigrahaH_2,Chastity_2
upasTasaMyamaH_2,Chastity_2
indriyanigrahaH_2,Chastity_2
jitendriyatvaM_2,Chastity_2
IzaddarSanaM_1,Glimpse_1
IzaddfzwiH_1,Glimpse_1
ABAsaH_1,Semblance_1
sAdfSyaM_1,Semblance_1
sadfSatA_1,Semblance_1
,Phenomenon_1
praBU_2,Effect_2
dfzwisambanDI_1,Visual_1
durBikzaM_1,Dearth_1
duzkAlaH_1,Dearth_1
anAkAlaM_1,Dearth_1
durBakzyaM_1,Dearth_1
nIvAkaH_1,Dearth_1
,Deficiency_1
hInatA_1,Lack_1
rahitatvaM_1,Lack_1
SUnyatA_1,Lack_1
aBAvaH_1,Lack_1
,Uncontemplated_1
,Brilliance_14
adaRqitaH_2,Free_2
akzataH_2,Free_2
nirvraRaH_2,Free_2
uzitaH_1,Inhabited_1
aDyuzitaH_1,Inhabited_1
aDyAsitaH_1,Inhabited_1
,Populated_1
SlakzRa_3,Smooth_3
samfdDaH_1,Prosperous_1
varDamAnaH_1,Prosperous_1
varDizRuH_1,Prosperous_1
prajA_1,Population_1
prajAsaMKyA_1,Population_1
janasaMKyA_1,Population_1
lokasaMKyA_1,Population_1
janAH_1,Population_1
vAsaH_1,Habitation_1
vAsasTAnaM_1,Habitation_1
nivAsaH_1,Habitation_1
vasatiH_1,Habitation_1
,Unrestricted_3
ayantritaH_3,Unrestrained_3
ayataH_3,Unrestrained_3
niryantraRaH_3,Unrestrained_3
avinItaH_1,Indecent_1
avinayavAn_1,Indecent_1
vinayApetaH_1,Indecent_1
amftaM_2,Nectar_2
suDA_2,Nectar_2
