Entry No   Transliteration                          Word Info            Definition
========================================================================================================================
1          naraH                                    A, An@               (As an article) not ex.; ‘a man’

2          tyaj                                     Abandon,@            {%v. t.%}

3          aBiBU                                    Abase,@              {%v. t.%}

4          lajj                                     Abash,@              {%v. t.%}

5          hras                                     Abate,@              {%v. t.%}

6          maWADISa-padaM-tvaM                      Abbacy,@             {%s.%}

7          vihAraH, maWaH                           Abbey,@              {%s.%}

8          maWADyakzaH, vihArasya praDAnapuruzaH    Abbot,@              {%s.%}

9          saM-pratisaM-hf                          Abbreviate,@         {%v. t.%}

10         rAjyaM                                   Abdicate,@           {%v.%}

11         udaraM, kukzi                            Abdomen,@            {%s.%}

12         apahf                                    Abduct,@             {%v. t.%}

13         BraMSaH, cyuti                           Aberration,@         {%s.%}

14         pravft                                   Abet,@               {%v. t.%}

15         vilaMbaH, vyAkzepaH                      Abeyance,@           {%s.%}

16         gup                                      Abhor,@              {%v. t.%}

17         vas                                      Abide,@              {%v. i.%}

18         aDama, apa-ni-kfzwa, kfpaRa, nIca,       Abject,@             {%a.%}

19         saSapaTaM tyaj                           Abjure,@             {%v. t.%}

20         paMcamI viBakti                          Ablative,@           {%s.%}

21         jvalat, ujjvala, pradIpta                Ablaze,@             {%a.%}

22         samarTa, kzama, Sakta; karmakzama, alaM- Able,@               {%a.%}

23         prakzAlanaM, DAvanaM; snAnaM, majjanaM   Ablution,@           {%s.%}

24         pratyAKyAnaM, saMyamaH, nigrahaH;        Abnegation,@         {%s.%}

25         aniyata, niyamavirudDa, apUrva,          Abnormal,@           {%a.%}

26         aDiru;                                   Aboard,@             {%adv.%}

27         gfhaM, veSman                            Abode,@              {%s.%}

28         vilup,                                   Abolish,@            {%v. t.%}

29         dviz                                     Abominate,@          {%v. t.%}

30         Adya, Adima, pUrvakAlIna                 Aboriginal,@         {%a.%}

31         AdimavAsinaH                             Aborigines,@         {%s.%}

32         garBasrAvaH -pAtaH;                      Abortion,@           {%s.%}

33         sakF-pF                                  Abound,@             {%v. i.%} (with, in)

34         pari; pari-i                             About,@              {%prep.%}

35         aDi                                      Above,@              {%adv.%}

36         GarzaRena kzi                            Abrade,@             {%v. t.%}

37         pArSvApArSvi                             Abreast,@            {%adv.%}

38         saMkzip                                  Abridge,@            {%v. t.%}

39         videSe, deSAMtaraM                       Abroad,@             {%adv.%}

40                                                  Abrogate,@           {%See%} {@Abolish.@}

41         vizama,                                  Abrupt,@             {%a.%}

42         vidraDiH; sPowaH, vraRaH-RaM             Abscess,@            {%s.%}

43         pracCanna                                Abscond,@            {%v. i.%}

44         avartamAna, avidyamAna, anupasTita,      Absent,@             {%a.%}

45         saMpUrRa, paryApta                       Absolute,@           {%a.%}

46         pApAt                                    Absolve,@            {%v. t.%} (

47         visaMvAdin, viroDin                      Absonant,@           {%a.%}

48         ut-, Suz,                                Absorb,@             {%v. t.%}

49         nivft                                    Abstain,@            {%v. i.%}

50         mitAhAra, alpAhArin,                     Abstemious,@         {%a.%}

51         SudDIkaraRaM                             Abstersion,@         {%s.%}

52         saMkzip                                  Abstract,@           {%v. t.%}

53         gUQa, pracCanna                          Abstruse,@           {%a.%}

54         anarTaka, ayukta, nyAyavirudDa,          Absurd,@             {%a.%}

55         vfTA-mfzA-anyAyataH pra-vini             Abuse,@              {%v. t.%}

56         avalaMb                                  Abut,@               {%v. i.%}

57                                                  Abysm,@              {%s. See%} {@Abyss.@}

58         gaBIragartaH, agADabilaM, atalasparSaM   Abyss,@              {%s.%}

59         vidyAlayaH-yaM                           Academy,@            {%s.%}

60         anuman                                   Accede,@             {%v. i.%}

61         tvar                                     Accelerate,@         {%v. t.%}

62         svaraH                                   Accent,@             {%s.%}

63         pratigrah                                Accept,@             {%v. t.%}

64         praveSaH, upasarpaRaM, aBi-upa-gamaH;    Access,@             {%s.%}

65         samApatti                                Accident,@           {%s.%}

66         DanyavAdaH, praSaMsAGozaH                Acclamation.@        {%s.%}

67         utsaMgaH                                 Acclivity.@          {%s.%}

68         yuj                                      Accommodate,@        {%v. t.%}

69         anu-i                                    Accompany,@          {%v. t.%}

70         anuzaMgin;                               Accomplice,@         {%s.%}

71         sAD                                      Accomplish,@         {%v. t.%}

72         saMvad                                   Accord.@             {%v. i.%}

73         saM-aBi-A-BAz                            Accost,@             {%v. t.%}

74         prasUti                                  Accouchement,@       {%s.%}

75         prasava-sUti-vEdyaH                      Accoucheur,@         {%s.%}

76         gaRanA, saMKyAnaM, vigaRanaM;            Account,@            {%s.%}

77         saMnah                                   Accoutre,@           {%v. t.%}

78         viSvAsapatraM dA                         Accredit,@           {%v. t.%}

79                                                  Accrescent,@         {%a. See%} ‘Increasing’ under
‘Increase’.

80                                                  Accretion,@          {%s. See%} ‘Increase,s’.

81         utpad-jan                                Accrue@              {%v. i.%}

82         saMveSaH, aDiSayanaM                     Accubation,@         {%s.%}

83         saMvizwa, ADiSayAna                      Accumbent,@          {%a.%}

84         saM-pra-ci                               Accumulate,@         {%v. t.%}

85         yaTArTa, sUkzma, satya, yaTAvftta;       Accurate,@           {%a.%}

86         hataka, apasada,                         Accurse,@            {%v. t. See%} {@‘Curse’-ed,@} {%a.%} ex. by

87         dvitIyA viBakti                          Accusative,@         {%s.%}

88         aBiyuj                                   Accuse,@             {%v. t.%}

89         aByas                                    Accustom,@           {%v. t.%}

90         ekabiMduH,                               Ace,@                {%s.%}

91         tuvara, kawu, amla                       Acerb,@              {%a.%}

92                                                  Acetic,@             {%a. See%} ‘Acid, {%a.%}’

93         amlIkf                                   Acetify,@            {%v. t.%}

94         vedanA, pIqA, vyaTA;                     Ache,@               {%s.%}

95         samAp                                    Achieve,@            {%v. t.%}

96         tIkzRAgra, sUcyagra                      Acicular,@           {%a.%}

97         amlaH                                    Acid,@               {%s.%}

98                                                  Aciform,@            {%See%} ‘Acicular.’

99         aByupagam                                Acknowledge,@        {%v. t.%}

100        parA kAzWA-kowi                          Acme,@               {%s.%}

101        Srutivizayaka, SravaRasaMbaMDin          Acoustic,@           {%a.%}

102        buD                                      Acquaint.@           {%v. t.%}

103        anuman                                   Acquiesce,@          {%v. i.%}

104        arj                                      Acquire,@            {%v. t.%}

105        pApAt-dozAt                              Acquit,@             {%v. t.%} (

106        kawu, ugra, tIkzRa-                      Acrid,@              {@Acrimonious,@} {%a.%}

107        kalAyanaH, sUtrAyaRaH                    Acrobat,@            {%s.%}

108        pAraM, tIrAMtaraM,                       Across,@             {%prep.%}

109        vft                                      Act,@                {%v. i.%}

110        prer                                     Actuate,@            {%v. t.%}

111        matisUkzmatA, vidagDatA                  Acumen,@             {%s.%}

112        ni-, Sita, tIkzRa;                       Acute,@              {%a.%}

113        sUtraM, vacanaM, vAkyaM, ABARakaH        Adage,@              {%s.%}

114        vajraH-jraM                              Adamant,@            {%s.%}

115        yuj                                      Adapt,@              {%v. t.%}

116        saMkal                                   Add,@                {%v. t.%}

117        A-ni-sev                                 Addict,@             {%v. t.%} (oneself)

118        asaMpUrRa, nazwa, duzwa;                 Addle,@              {%a.%}

119        AmaMtr                                   Address,@            {%v. t.%}

120        nirdiS                                   Adduce,@             {%v. t.%} (proof, witness &c.)

121        nipuRa, kuSala, pravIRa, aBijYa          Adept,@              {%a.%}

122        paryApta, samarTa, kzama, tulya          Adequate,@           {%a.%}

123        saMj                                     Adhere,@             {%v. i.%}

124        svasti                                   Adieu,@              {%adv.%}

125        Asanna, samIpa, samIpavartin,            Adjacent,@           {%a.%}

126        viSezaRaM                                Adjective,@          {%s.%}

127        lag                                      Adjoin,@             {%v. t.%}

128        vyAkzip                                  Adjourn,@            {%v. t.%}

129        dA                                       Adjudge,@            {%v. t.%}

130        nirRI                                    Adjudicate,@         {%v. t.%}

131        saMyukta, sahita                         Adjunct,@            {%a.%}

132        saSapaTaM samAdiS                        Adjure,@             {%v. t.%}

133        samIkf                                   Adjust,@             {%v. t.%}

134        sahAyaH, sahakArin                       Adjutant,@           {%s.%}

135                                                 Admeasure,@          {%v. t. See%} ‘{@Measure@}’.

136        praSAs                                   Administer,@         {%v. t.%}

137        nOsADanADyakzaH                          Admiral,@            {%s.%}

138        praSaMs                                  Admire,@             {%v. t.%}

139        praviS                                   Admit,@              {%v. t.%}

140        saMmiSr                                  Admix,@              {%v. t.%}

141        upadiS                                   Admonish,@           {%v. t.%}

142        SramaH, dIrGAyAsaH                       Ado,@                {%s.%}

143        yOvanadaSA, yOvanaM                      Adolescence,@        {%s.%}

144        parigrah                                 Adopt,@              {%v. t.%}

145        ArAD                                     Adore,@              {%v. t.%}

146        vi-, BUz                                 Adorn,@              {%v. t.%}

147        itastataH plavamAna                      Adrift,@             {%adv.%}

148        nipuRa, dakza, DUrta, catura             Adroit,@             {%a.%}

149                                                 Adry,@               {%a. See%} ‘Thirsty’.

150        SlAG                                     Adulate,@            {%v. t%}

151        prOQaH, prAptayOvanaH, prAptavyavahAradaSaH, Adult,@              {%s.%}

152        apadravyeRa saMmiSr                      Adulterate,@         {%v. t.%}

153        vyaBicAraH; pAradAryaM, paraBAryA-       Adultery,@           {%s.%}

154        pAMquleKyaM-praticCAyAM-                 Adumbrate,@          {%v. t.%}

155        dagDa, BasmI-BUta                        Adust,@              {%a.%}

156        pra-ut-cal                               Advance,@            {%v. i.%}

157        lABaH, hitaM, guRaH, PalaM, arTaH        Advantage,@          {%s.%}

158        AgamanaM, pravftti                       Advent,@             {%s.%}

159        sAhasaM, adButaM karma                   Adventure,@          {%s.%}

160        kriyAviSezaRaM, avyayaM                  Adverb,@             {%s.%}

161        pratikUla, vipakza, vErin, viparIta,     Adverse,@            {%a.%}

162        udAhf                                    Advert@              (to). {%v. i.%}

163        vijYA                                    Advertise,@          {%v. t.%}

164        upadiS                                   Advise,@             {%v. t.%}

165        parArTaM vad                             Advocate,@           {%v. t.%}

166        kuMWArikA, takzaRI                       Adze,@               {%s.%}

167                                                 Aerial,@             {%a. See%} under {@Air.@}

168        AkASayAnaM, vimAnaM                      Aeroplane,@          {%s.%}

169        ADyAtmika                                Aery,@               {%a.%}

170        dUrAt, ArAt; dUre-raM;                   Afar,@               {%adv.%}

171        sujana, suSIla                           Affable,@            {%a.%}

172        kAryaM, vyApAraH, karman                 Affair,@             {%s%}

173        aBiBU                                    Affect,@             {%v. t.%} (To act upon)

174        pratiSru                                 Affiance,@           {%v. t.%}

175        SapaTapatraM, saSapaTaM liKito           Affidavit,@          {%s.%}

176        saMSliz                                  Affiliate,@          {%v. t.%}

177        saMbaMDaH, saMparkaH, yogaH              Affinity,@           {%s.%}

178        pratijYA                                 Affirm,@             {%v. t.%}

179        AgamaH                                   Affix,@              {%s.%}

180        kliS                                     Afflict,@            {%v. t.%}

181        samfdDi                                  Affluence,@          {%s.%}

182        dA                                       Afford,@             {%v. t.%}

183        kalahaH, dvaMdvaM, yudDaM                Affray,@             {%s.%}

184        saMtras                                  Affright,@           {%v. t.%}

185        avajYA, nikfti                           Affront,@            {%s.%}

186        AsekaH                                   Affusion,@           {%s.%}

187        dahyamAna                                Afire, Aflame,@      {%a.%}

188        plavamAna;                               Afloat,@             {%a.%}

189        padByAm;                                 Afoot,@              {%adv.%}

190        agre, puraH, saMmuKaM                    Afore,@              {%adv.%}

191        BIta, BayAnvita, SaMkAnvita;             Afraid,@             {%a.%}

192        punarapi, aBinavaM                       Afresh,@             {%adv.%}

193        anu                                      After,@              {%prep.%}

194        punaH, BUyaH;                            Again,@              {%adv.%}

195        prati-ABi                                Against,@            {%prep.%}

196        jfMBamARa;                               Agape,@              {%a.%}

197        jaWaraSUnya                              Agastric,@           {%a.%}

198        yugaM, kAlaH, samayaH                    Age,@                {%s.%}

199        kAryakramapatraM                         Agenda,@             {%s.%}

200        pratihastaH, pratiniDiH                  Agent,@              {%s.%}

201        saMci                                    Agglomerate,@        {%v. t.%}

