Entry No,Word Info,Definition,Transliteration
1,"A, An",(As an article) not ex.; ‘a man’,naraH
2,"Abandon,",{%v. t.%},tyaj
3,"Abase,",{%v. t.%},aBiBU
4,"Abash,",{%v. t.%},lajj
5,"Abate,",{%v. t.%},hras
6,"Abbacy,",{%s.%},maWADISa-padaM-tvaM
7,"Abbey,",{%s.%},"vihAraH, maWaH"
8,"Abbot,",{%s.%},"maWADyakzaH, vihArasya praDAnapuruzaH"
9,"Abbreviate,",{%v. t.%},saM-pratisaM-hf
10,"Abdicate,",{%v.%},rAjyaM
11,"Abdomen,",{%s.%},"udaraM, kukzi"
12,"Abduct,",{%v. t.%},apahf
13,"Aberration,",{%s.%},"BraMSaH, cyuti"
14,"Abet,",{%v. t.%},pravft
15,"Abeyance,",{%s.%},"vilaMbaH, vyAkzepaH"
16,"Abhor,",{%v. t.%},gup
17,"Abide,",{%v. i.%},vas
18,"Abject,",{%a.%},"aDama, apa-ni-kfzwa, kfpaRa, nIca,"
19,"Abjure,",{%v. t.%},saSapaTaM tyaj
20,"Ablative,",{%s.%},paMcamI viBakti
21,"Ablaze,",{%a.%},"jvalat, ujjvala, pradIpta"
22,"Able,",{%a.%},"samarTa, kzama, Sakta; karmakzama, alaM-"
23,"Ablution,",{%s.%},"prakzAlanaM, DAvanaM; snAnaM, majjanaM"
24,"Abnegation,",{%s.%},"pratyAKyAnaM, saMyamaH, nigrahaH;"
25,"Abnormal,",{%a.%},"aniyata, niyamavirudDa, apUrva,"
26,"Aboard,",{%adv.%},aDiru;
27,"Abode,",{%s.%},"gfhaM, veSman"
28,"Abolish,",{%v. t.%},"vilup,"
29,"Abominate,",{%v. t.%},dviz
30,"Aboriginal,",{%a.%},"Adya, Adima, pUrvakAlIna"
31,"Aborigines,",{%s.%},AdimavAsinaH
32,"Abortion,",{%s.%},garBasrAvaH -pAtaH;
33,"Abound,","{%v. i.%} (with, in)",sakF-pF
34,"About,",{%prep.%},pari; pari-i
35,"Above,",{%adv.%},aDi
36,"Abrade,",{%v. t.%},GarzaRena kzi
37,"Abreast,",{%adv.%},pArSvApArSvi
38,"Abridge,",{%v. t.%},saMkzip
39,"Abroad,",{%adv.%},"videSe, deSAMtaraM"
40,"Abrogate,",{%See%} {@Abolish.@},
41,"Abrupt,",{%a.%},"vizama,"
42,"Abscess,",{%s.%},"vidraDiH; sPowaH, vraRaH-RaM"
43,"Abscond,",{%v. i.%},pracCanna
44,"Absent,",{%a.%},"avartamAna, avidyamAna, anupasTita,"
45,"Absolute,",{%a.%},"saMpUrRa, paryApta"
46,"Absolve,",{%v. t.%} (,pApAt
47,"Absonant,",{%a.%},"visaMvAdin, viroDin"
48,"Absorb,",{%v. t.%},"ut-, Suz,"
49,"Abstain,",{%v. i.%},nivft
50,"Abstemious,",{%a.%},"mitAhAra, alpAhArin,"
51,"Abstersion,",{%s.%},SudDIkaraRaM
52,"Abstract,",{%v. t.%},saMkzip
53,"Abstruse,",{%a.%},"gUQa, pracCanna"
54,"Absurd,",{%a.%},"anarTaka, ayukta, nyAyavirudDa,"
55,"Abuse,",{%v. t.%},vfTA-mfzA-anyAyataH pra-vini
56,"Abut,",{%v. i.%},avalaMb
57,"Abysm,",{%s. See%} {@Abyss.@},
58,"Abyss,",{%s.%},"gaBIragartaH, agADabilaM, atalasparSaM"
59,"Academy,",{%s.%},vidyAlayaH-yaM
60,"Accede,",{%v. i.%},anuman
61,"Accelerate,",{%v. t.%},tvar
62,"Accent,",{%s.%},svaraH
63,"Accept,",{%v. t.%},pratigrah
64,"Access,",{%s.%},"praveSaH, upasarpaRaM, aBi-upa-gamaH;"
65,"Accident,",{%s.%},samApatti
66,Acclamation.,{%s.%},"DanyavAdaH, praSaMsAGozaH"
67,Acclivity.,{%s.%},utsaMgaH
68,"Accommodate,",{%v. t.%},yuj
69,"Accompany,",{%v. t.%},anu-i
70,"Accomplice,",{%s.%},anuzaMgin;
71,"Accomplish,",{%v. t.%},sAD
72,Accord.,{%v. i.%},saMvad
73,"Accost,",{%v. t.%},saM-aBi-A-BAz
74,"Accouchement,",{%s.%},prasUti
75,"Accoucheur,",{%s.%},prasava-sUti-vEdyaH
76,"Account,",{%s.%},"gaRanA, saMKyAnaM, vigaRanaM;"
77,"Accoutre,",{%v. t.%},saMnah
78,"Accredit,",{%v. t.%},viSvAsapatraM dA
79,"Accrescent,","{%a. See%} ‘Increasing’ under
‘Increase’.",
80,"Accretion,","{%s. See%} ‘Increase,s’.",
81,Accrue,{%v. i.%},utpad-jan
82,"Accubation,",{%s.%},"saMveSaH, aDiSayanaM"
83,"Accumbent,",{%a.%},"saMvizwa, ADiSayAna"
84,"Accumulate,",{%v. t.%},saM-pra-ci
85,"Accurate,",{%a.%},"yaTArTa, sUkzma, satya, yaTAvftta;"
